counter_id,daily_range_high,daily_range_low,counter,buy_price,sell_price,previous_closing_price,today_closing_price,volume_traded,dividend_mk,dividend_yield_pct,earnings_yield_pct,pe_ratio,pbv_ratio,market_capitalization_mkmn,profit_after_tax_mkmn,num_shares_issue,trade_date,print_time
16.0,14.01,14.01,TNM,0.0,14.01,14.01,14.01,28720.0,0.43,3.07,6.89,14.52,2.85,140666.7,9690.0,10040450000.0,2023-02-14,14:36:54
1.0,58.08,58.08,AIRTEL,58.07,0.0,58.07,58.08,30000.0,2.95,5.08,5.06,19.76,19.17,638880.0,32334.93,11000000000.0,2023-02-13,14:38:22
2.0,,,BHL,0.0,10.96,10.96,10.96,0.0,0.0,0.0,-8.17,-12.24,1.42,9203.67,-751.84,839750705.0,2023-02-13,14:38:22
3.0,35.02,35.02,FDHB,35.02,36.0,35.02,35.02,190000.0,1.05,3.0,4.82,20.73,7.66,241674.11,11658.84,6901031250.0,2023-02-13,14:38:22
4.0,167.0,167.0,FMBCH,0.0,167.0,167.0,167.0,19800.0,1.68,1.01,5.32,18.8,4.32,410527.75,21841.25,2458250000.0,2023-02-13,14:38:22
5.0,,,ICON,0.0,11.92,11.92,11.92,0.0,0.24,2.01,10.82,9.25,0.91,79625.6,8612.79,6680000000.0,2023-02-13,14:38:22
6.0,,,ILLOVO,600.02,0.0,600.02,600.02,0.0,21.0,3.5,6.22,16.08,4.24,428080.9,26630.0,713444391.0,2023-02-13,14:38:22
7.0,,,MPICO,0.0,20.59,20.59,20.59,0.0,0.31,1.51,9.95,10.06,1.0,47316.8,4705.66,2298047460.0,2023-02-13,14:38:22
8.0,1600.0,1550.05,NBM,1600.0,0.0,1550.04,1597.07,16136.0,49.26,3.08,4.68,21.35,5.22,745722.67,34928.0,466931738.0,2023-02-13,14:38:22
9.0,38.48,38.47,NBS,37.5,38.48,38.48,38.48,949462.0,1.35,3.51,6.87,14.56,4.84,111998.86,7692.37,2910573356.0,2023-02-13,14:38:22
10.0,,,NICO,75.0,0.0,75.0,75.0,0.0,3.25,4.33,12.45,8.03,1.62,78228.08,9736.0,1043041096.0,2023-02-13,14:38:22
11.0,164.0,164.0,NITL,164.0,0.0,164.0,164.0,25451.0,2.85,1.74,21.1,4.74,1.27,22140.0,4670.89,135000000.0,2023-02-13,14:38:22
12.0,880.01,880.0,OMU,880.0,0.0,838.01,880.0,177018.0,41.06,4.67,8.33,12.0,1.36,13404.5,1116.71,15232389.0,2023-02-13,14:38:22
13.0,2181.35,2181.35,PCL,0.0,2181.35,2181.35,2181.35,27.0,34.0,1.56,8.28,12.07,1.39,262320.03,21728.0,120255820.0,2023-02-13,14:38:22
14.0,2200.0,2200.0,STANDARD,2200.0,0.0,2200.0,2200.0,4.0,37.07,1.69,4.8,20.84,4.41,516269.96,24769.0,234668162.0,2023-02-13,14:38:22
15.0,,,SUNBIRD,105.0,0.0,105.0,105.0,0.0,0.0,0.0,2.73,36.65,0.99,27466.17,749.39,261582580.0,2023-02-13,14:38:22
16.0,14.01,14.01,TNM,13.99,14.01,14.01,14.01,269850.0,0.43,3.07,6.89,14.52,2.85,140666.7,9690.0,10040450000.0,2023-02-13,14:38:22
1.0,,,AIRTEL,58.07,0.0,58.07,58.07,0.0,2.95,5.08,5.06,19.75,19.17,638770.0,32334.93,11000000000.0,2023-02-10,14:32:54
2.0,,,BHL,0.0,11.0,10.96,10.96,0.0,0.0,0.0,-8.17,-12.24,1.42,9203.67,-751.84,839750705.0,2023-02-10,14:32:54
